WKT,Highway
"LINESTRING (-98.499204 33.907801,-98.499463 33.908064,-98.51209 33.923113,-98.519528 33.939266,-98.528943 33.957645,-98.531964 33.972675,-98.542302 33.987693,-98.547803 34.003753,-98.553502 34.021076,-98.557973 34.037094,-98.556889 34.053035,-98.557012 34.075714,-98.557164 34.091262,-98.525716 34.113435,-98.514378 34.129105,-98.514439 34.149384,-98.503529 34.171166,-98.489179 34.191773,-98.478459 34.214806,-98.461919 34.230004,-98.444699 34.241746,-98.434415 34.260946,-98.429509 34.276216,-98.421285 34.303377,-98.416631 34.318838,-98.409932 34.340906,-98.409322 34.362066,-98.409322 34.404665,-98.409329 34.419718,-98.409299 34.448008,-98.409383 34.477847,-98.411519 34.493975,-98.412419 34.535517,-98.407514 34.550868,-98.394971 34.566512,-98.386411 34.582976,-98.376828 34.601208,-98.38503 34.617157,-98.386876 34.635547,-98.383603 34.655613,-98.383069 34.675037,-98.38831 34.690258,-98.395024 34.706417,-98.40038 34.722187,-98.375142 34.740547,-98.357625 34.750019,-98.34023 34.760838,-98.317159 34.77113,-98.301785 34.785298,-98.285199 34.7991,-98.266103 34.804849,-98.247685 34.810269,-98.231838 34.81498,-98.215587 34.823918,-98.190548 34.839929,-98.136127 34.868489,-98.107303 34.883188,-98.084438 34.895361,-98.057117 34.912649,-98.039233 34.926722,-98.024463 34.94198,-98.006106 34.96084,-97.987223 34.980421,-97.96889 34.994299,-97.953227 35.0082,-97.937297 35.02394,-97.919574 35.03144,-97.908648 35.05152,-97.904567 35.066581,-97.890918 35.081832,-97.863337 35.10398,-97.836733 35.129863,-97.815279 35.142852,-97.795282 35.158703,-97.778192 35.173782,-97.759226 35.188713,-97.73575 35.203564,-97.708742 35.222042,-97.671655 35.240753,-97.655946 35.247784,-97.638215 35.261032,-97.622971 35.269562,-97.607575 35.274033,-97.599671 35.289502,-97.598328 35.306913,-97.596024 35.323194,-97.58725 35.346192,-97.581101 35.361993,-97.574601 35.377217,-97.57396 35.394128,-97.577988 35.410741,-97.574593 35.427503,-97.56939 35.445376,-97.574975 35.460383,-97.578767 35.476725,-97.578805 35.493315,-97.575715 35.511213,-97.555512 35.511652,-97.539666 35.523855,-97.521119 35.528586,-97.504159 35.529837,-97.485108 35.534029,-97.469331 35.538904,-97.459962 35.541193)",I 44
"LINESTRING (-98.501714 33.909201,-98.501592 33.909033,-98.500783 33.906832)",I 44
"LINESTRING (-78.596171 35.753769,-78.597964 35.754257,-78.614939 35.757377,-78.634882 35.753227,-78.651477 35.753166,-78.666484 35.756908,-78.692241 35.751968,-78.707828 35.751716,-78.723102 35.757282,-78.735996 35.766708)",I 440/I 40
"LINESTRING (-96.781966 32.778848,-96.781898 32.778756,-96.774177 32.760599,-96.766967 32.741166,-96.762008 32.72537,-96.75444 32.706647,-96.74916 32.690458,-96.737838 32.674157,-96.722899 32.65896,-96.707548 32.648977,-96.699125 32.63212,-96.688528 32.609949,-96.67903 32.591278,-96.66635 32.564957,-96.659575 32.546276,-96.658888 32.530815,-96.663267 32.514359,-96.663656 32.498085,-96.663656 32.481457,-96.661757 32.465088,-96.664427 32.449948,-96.660506 32.434696,-96.659804 32.417976,-96.655775 32.402107,-96.649077 32.383624,-96.634909 32.363117,-96.623845 32.347675,-96.613935 32.332195,-96.600866 32.314716,-96.548391 32.288158,-96.52155 32.275695,-96.506253 32.262817,-96.497219 32.246387,-96.488873 32.229925,-96.480999 32.214514,-96.473515 32.199347,-96.471348 32.182516,-96.469128 32.164267,-96.463757 32.146246,-96.445866 32.118635,-96.441387 32.100256,-96.438847 32.084936,-96.450314 32.067755,-96.448795 32.048955,-96.444088 32.033933,-96.437565 32.016923,-96.431027 32.001462,-96.424549 31.985965,-96.422093 31.970575,-96.42059 31.955114,-96.424603 31.937114,-96.409968 31.920743,-96.392863 31.910304,-96.375125 31.900224,-96.354648 31.889255,-96.337611 31.871782,-96.320048 31.864172,-96.296908 31.846342,-96.283649 31.830853,-96.273767 31.815043,-96.257372 31.800213,-96.231646 31.779722,-96.214823 31.765453,-96.199404 31.750033,-96.182306 31.731842,-96.176676 31.715822,-96.171473 31.700712,-96.165171 31.683403,-96.162706 31.668292,-96.158907 31.644912,-96.157427 31.628882,-96.15661 31.613792,-96.154153 31.598252,-96.149095 31.582843,-96.13868 31.566762,-96.127435 31.549571,-96.11844 31.533881,-96.105386 31.513852,-96.096566 31.498211,-96.091523 31.482182,-96.085839 31.464512,-96.074426 31.44923,-96.060731 31.433931,-96.046845 31.418072,-96.035782 31.401312,-96.024689 31.384581,-96.017914 31.36692,-96.013214 31.349522,-96.008034 31.330582,-96.003815 31.31549,-95.999611 31.300191,-95.988991 31.276731,-95.987831 31.26098,-95.990181 31.24438,-95.994873 31.226859,-95.996765 31.210971,-95.992981 31.193549,-95.984383 31.15589,-95.978661 31.133598,-95.972954 31.117208,-95.964043 31.10084,-95.958015 31.083698,-95.952545 31.067829,-95.94702 31.051599,-95.938262 31.035238,-95.926452 31.019258,-95.914641 31.003349,-95.900252 30.98325,-95.883979 30.964839,-95.856398 30.947417,-95.825034 30.929417,-95.809873 30.920869,-95.790647 30.909749,-95.77664 30.893739,-95.762503 30.875998,-95.75012 30.860558,-95.720259 30.838029,-95.694036 30.811707,-95.678891 30.796048,-95.659726 30.782847,-95.633488 30.765557,-95.595151 30.740467,-95.578915 30.728937,-95.563687 30.709198,-95.551747 30.692926,-95.528087 30.681078,-95.512386 30.662857,-95.508892 30.642807,-95.507351 30.625007,-95.50555 30.603548,-95.503406 30.577475,-95.500957 30.559996,-95.496547 30.543216,-95.492107 30.525355,-95.491527 30.502745,-95.495296 30.478917,-95.49567 30.461007,-95.495235 30.435046,-95.49123 30.419295,-95.486896 30.404155,-95.485615 30.374996,-95.483974 30.351705,-95.479076 30.335886,-95.472347 30.317695,-95.467396 30.302585,-95.462398 30.287565,-95.457247 30.254535,-95.458758 30.237124,-95.45708 30.215933,-95.453646 30.192664,-95.451708 30.176493,-95.449923 30.160325,-95.446276 30.142344,-95.44308 30.126544,-95.435946 30.108994,-95.435198 30.090815,-95.435832 30.075043,-95.432666 30.056472,-95.429316 30.038313,-95.42911 30.023082,-95.423678 29.988153,-95.420596 29.971313,-95.417948 29.952943,-95.412295 29.935953,-95.412509 29.917143,-95.411837 29.878953,-95.402217 29.858943,-95.391108 29.843052,-95.380502 29.827141,-95.374689 29.812083,-95.371767 29.789672,-95.368715 29.775292)",I 45
"LINESTRING (-94.833456 29.288919,-94.835142 29.288518,-94.850173 29.288309,-94.865195 29.285419,-94.899558 29.301994,-94.92134 29.320949,-94.951415 29.34475,-94.984091 29.359539,-95.005386 29.37617,-95.068542 29.4387,-95.094757 29.47081,-95.112266 29.499991,-95.126381 29.523501,-95.162507 29.562101,-95.180237 29.582721,-95.205323 29.60625,-95.243432 29.64084,-95.263216 29.670391,-95.282526 29.690811,-95.318208 29.716791,-95.33362 29.725952,-95.358125 29.742222,-95.373956 29.750842,-95.365678 29.768483,-95.365457 29.769673)",I 45
"LINESTRING (-87.027623 33.34284,-87.024366 33.342394,-87.009069 33.336439,-86.992879 33.332476,-86.956601 33.333876,-86.939359 33.335951,-86.922719 33.339041,-86.906369 33.342421,-86.887913 33.342131,-86.870625 33.34651,-86.854672 33.35391,-86.835407 33.370459,-86.810528 33.382669,-86.790424 33.391409,-86.764279 33.407331,-86.740238 33.433248,-86.721637 33.450041,-86.706225 33.471492,-86.707591 33.48899,-86.695972 33.504981,-86.672687 33.519591,-86.656055 33.52838,-86.641757 33.548507,-86.639155 33.565455,-86.641154 33.580665,-86.651126 33.5964,-86.653781 33.59793)",I 459
"LINESTRING (-76.26835 36.762693,-76.268747 36.763273,-76.283228 36.780883,-76.280191 36.799476,-76.282907 36.815665,-76.287866 36.831573,-76.279756 36.844928)",I 464
"LINESTRING (-86.049252 39.721221,-86.043881 39.735049,-86.033528 39.75141,-86.032849 39.786316,-86.032635 39.802738,-86.031361 39.823524,-86.041004 39.840801,-86.047695 39.88557,-86.068997 39.904457,-86.085362 39.913574,-86.112264 39.921532,-86.128926 39.925915,-86.146207 39.930233,-86.164502 39.930229,-86.180043 39.925781,-86.20252 39.924209,-86.225104 39.923801,-86.241507 39.923569,-86.262915 39.92868,-86.269934 39.910744,-86.269514 39.88179,-86.271063 39.866489,-86.275709 39.828777,-86.283125 39.810196)",I 465
"LINESTRING (-86.339087 39.931141,-86.336394 39.931419,-86.32083 39.931831,-86.273093 39.930736,-86.262915 39.92868)",I 465 N
"LINESTRING (-94.539133 38.939769,-94.53688 38.937983,-94.523302 38.932708,-94.47056 38.938033,-94.448876 38.936633,-94.425004 38.934947,-94.406083 38.934409,-94.388108 38.942207,-94.371743 38.944793,-94.35875 38.963588,-94.356614 38.981139,-94.357537 38.996375,-94.35637 39.013439,-94.360909 39.030559,-94.362184 39.04198)",I 470
"LINESTRING (-95.776996 39.053278,-95.775341 39.052508,-95.758983 39.039988,-95.750896 39.020266,-95.734293 39.011286,-95.708315 38.998907,-95.693018 38.996298,-95.689492 38.994512,-95.677134 38.992007,-95.660929 39.000246,-95.644785 39.012087,-95.629572 39.024737,-95.614436 39.030501)",I 470
"LINESTRING (-84.503547 39.106426,-84.50283 39.105583,-84.487213 39.097984,-84.472213 39.082431,-84.465202 39.067314,-84.465362 39.049278,-84.462387 39.045406)",I 471
"LINESTRING (-89.518318 40.633081,-89.528716 40.632849,-89.543785 40.630922,-89.580796 40.629873,-89.610299 40.629953,-89.630356 40.641886,-89.645356 40.657873,-89.664475 40.669513,-89.675728 40.68838,-89.676316 40.711844,-89.67212 40.733283,-89.667634 40.742534)",I 474
"LINESTRING (-83.622165 41.522159,-83.621219 41.530242,-83.636287 41.532367,-83.65562 41.532466,-83.672733 41.536205,-83.686519 41.553322,-83.691722 41.569638,-83.691707 41.612938,-83.694652 41.63366,-83.6953 41.657925,-83.694133 41.675667,-83.666278 41.689888,-83.644527 41.687996,-83.629306 41.688256,-83.613971 41.685418,-83.59827 41.683049,-83.581088 41.675896,-83.574191 41.676316)",I 475
"LINESTRING (-83.763143 43.096338,-83.739362 43.096109,-83.719861 43.099592,-83.69927 43.099481,-83.685803 43.083551,-83.683331 43.068472,-83.67368 43.052671,-83.676831 43.035909,-83.684018 43.020211,-83.676609 43.004269,-83.682698 42.983331,-83.682911 42.96655,-83.68256 42.951032,-83.681569 42.929589,-83.68076 42.921193)",I 475
"LINESTRING (-83.813903 32.958199,-83.813522 32.95757,-83.808868 32.937248,-83.800597 32.921627,-83.791518 32.906338,-83.777113 32.888737,-83.761969 32.873207,-83.74584 32.858364,-83.733549 32.833114,-83.729178 32.816688,-83.721907 32.801277,-83.719175 32.785789,-83.710646 32.770377,-83.712027 32.753867)",I 475
"LINESTRING (-75.350016 39.863315,-75.344309 39.867778,-75.354464 39.883555,-75.362803 39.898692,-75.364535 39.917541,-75.365481 39.9332,-75.350047 39.947158,-75.335719 39.963672,-75.339304 39.983192,-75.346995 39.998218,-75.35483 40.01324,-75.361933 40.029667,-75.348925 40.046536,-75.326418 40.059704,-75.322024 40.075008,-75.306155 40.093243,-75.291071 40.101814,-75.277475 40.113079)",I 476
"LINESTRING (-74.004097 40.679694,-74.004951 40.680923,-74.015533 40.700523,-74.016243 40.707317)",I 478
"LINESTRING (-81.989095 41.378719,-81.985441 41.380145,-81.9615 41.389507,-81.945806 41.396018,-81.930029 41.39994,-81.912908 41.408767,-81.896833 41.414615,-81.881284 41.420566,-81.866049 41.424652,-81.849934 41.423896,-81.834714 41.420089,-81.818928 41.420818,-81.794545 41.420623,-81.779317 41.421127,-81.763516 41.425914,-81.748311 41.4253,-81.72823 41.418472,-81.695209 41.419044,-81.678959 41.418319,-81.656574 41.408767,-81.637775 41.407676,-81.619823 41.410667,-81.603435 41.413528,-81.580214 41.4257,-81.549533 41.424763,-81.533427 41.424481,-81.517802 41.425744,-81.505618 41.429772)",I 480
"LINESTRING (-81.511576 41.350685,-81.510836 41.350089,-81.490214 41.339378,-81.473048 41.324928,-81.457864 41.316657,-81.437677 41.304786,-81.419855 41.286075,-81.400194 41.269725,-81.383256 41.263942,-81.371629 41.255916)",I 480
"LINESTRING (-95.907525 41.26189,-95.909264 41.261742,-95.924721 41.259949,-95.939896 41.263279,-95.953301 41.244911,-95.954705 41.229851,-95.952271 41.226379)",I 480
"LINESTRING (-81.533427 41.424481,-81.530276 41.423794,-81.515177 41.416442,-81.508662 41.401386,-81.508662 41.398811)",I 480
"LINESTRING (-81.511576 41.350685,-81.512309 41.352813,-81.515971 41.36909,-81.512507 41.385677,-81.508662 41.398811)",I 480/I 271
"LINESTRING (-76.119896 43.133975,-76.105247 43.140785,-76.086647 43.137435,-76.071098 43.133422,-76.054664 43.128936,-76.051826 43.111552,-76.053924 43.094813,-76.053787 43.077819,-76.052299 43.061564,-76.051605 43.046538,-76.061744 43.031245,-76.069862 43.014571,-76.085769 43.008975,-76.11689 43.006206,-76.135395 43.001035)",I 481
"LINESTRING (-92.015599 30.259237,-92.018719 30.273178,-92.023419 30.290809,-92.032094 30.316178,-92.048237 30.363929,-92.053433 30.379369,-92.058339 30.394748,-92.054539 30.413607,-92.065793 30.431708,-92.072377 30.44759,-92.076437 30.463829,-92.076116 30.480438,-92.072241 30.497169,-92.069151 30.51487,-92.06542 30.531118,-92.053609 30.546329,-92.051259 30.562569,-92.049367 30.578659,-92.0463 30.604589,-92.0473 30.625001,-92.049185 30.640771,-92.06957 30.665151,-92.079031 30.688649,-92.096975 30.70873,-92.113424 30.72095,-92.1695 30.762271,-92.187339 30.77753,-92.213301 30.804911,-92.222037 30.820301,-92.228301 30.836962,-92.227896 30.8619,-92.227301 30.887941,-92.250098 30.92144,-92.27439 30.949701,-92.305305 30.988422,-92.321373 30.996621,-92.367943 31.013421,-92.389 31.020822,-92.410606 31.027822,-92.432899 31.068912,-92.440162 31.085351,-92.443597 31.101321,-92.442803 31.116612,-92.444703 31.131923,-92.450387 31.149794,-92.464593 31.168223,-92.470559 31.208464,-92.465211 31.228365,-92.437692 31.239323,-92.433953 31.254513,-92.44053 31.279932,-92.444482 31.296543,-92.4544 31.312875,-92.472863 31.326894,-92.489457 31.331763,-92.505212 31.345365,-92.522317 31.347104,-92.53843 31.349174,-92.556069 31.355844,-92.571299 31.359075,-92.586664 31.360948,-92.603205 31.367284,-92.619059 31.370593,-92.639025 31.376294,-92.655298 31.382314,-92.670801 31.382425,-92.691202 31.389714,-92.70759 31.397924,-92.763209 31.445234,-92.795909 31.462224,-92.827403 31.473933,-92.858906 31.493924,-92.874035 31.502034,-92.93549 31.525113,-92.951061 31.529815,-92.97884 31.556006,-92.99532 31.566265,-93.010488 31.568184,-93.047338 31.606026,-93.064282 31.624356,-93.081693 31.643906,-93.10027 31.663016,-93.118833 31.681805,-93.133467 31.697455,-93.146948 31.713055,-93.157454 31.728735,-93.167929 31.745466,-93.187819 31.773465,-93.206328 31.799926,-93.234724 31.818015,-93.249792 31.826576,-93.269424 31.835506,-93.312583 31.855315,-93.329253 31.863326,-93.348403 31.875026,-93.372413 31.887826,-93.398482 31.902076,-93.417191 31.911987,-93.43264 31.922986,-93.440415 31.939608,-93.445175 31.955117,-93.46862 31.971627,-93.491608 31.981886,-93.510544 31.999176,-93.536431 32.026776,-93.55301 32.044098,-93.567605 32.062378,-93.595895 32.100998,-93.616258 32.121346,-93.64351 32.148698,-93.663179 32.168527,-93.682421 32.188028,-93.705042 32.210519,-93.720187 32.225839,-93.732088 32.242509,-93.745722 32.261979,-93.749445 32.277627,-93.747362 32.292718,-93.746012 32.308379,-93.749132 32.325037,-93.752032 32.346278,-93.751566 32.36262,-93.751658 32.407629,-93.750437 32.424723,-93.755266 32.484615,-93.76034 32.496368)",I 49
"LINESTRING (-77.965002 43.028884,-77.964903 43.029822,-77.951376 43.045531,-77.939436 43.065902,-77.929419 43.082202,-77.901289 43.089282,-77.885634 43.093421,-77.870077 43.097743,-77.840903 43.095344,-77.819539 43.093665,-77.801351 43.09516,-77.786344 43.103545,-77.769529 43.11555,-77.752851 43.120452,-77.735509 43.122725,-77.720014 43.133964,-77.71697 43.15435,-77.698078 43.157082,-77.682987 43.157669,-77.666706 43.157543,-77.646664 43.157227,-77.62949 43.156818,-77.614468 43.152317,-77.598522 43.143459,-77.581684 43.142857,-77.559116 43.144821,-77.541858 43.140762,-77.52576 43.130454,-77.510409 43.118716,-77.504855 43.103423,-77.498035 43.088035,-77.482875 43.075633,-77.471522 43.056643,-77.462665 43.04164,-77.448244 43.02624,-77.439142 43.010806,-77.439554 43.008918)",I 490
"LINESTRING (-81.693439 41.476963,-81.690151 41.474068,-81.673908 41.477116,-81.658069 41.479351,-81.649219 41.478169)",I 490
"LINESTRING (-81.580256 41.425713,-81.597263 41.427811,-81.626583 41.44384,-81.629596 41.472199,-81.649219 41.478169)",I 490 F
"LINESTRING (-92.958704 44.949011,-92.95923 44.941435,-92.978579 44.916891,-92.995006 44.900788,-93.004329 44.885533,-93.020824 44.882432,-93.045489 44.874593,-93.0629 44.874799,-93.078143 44.870874,-93.096576 44.856706,-93.113551 44.862008,-93.135272 44.862027,-93.151089 44.861913,-93.189251 44.861566,-93.208119 44.862649,-93.227245 44.862187,-93.268094 44.861917,-93.307691 44.861924,-93.328992 44.859071,-93.376363 44.860299,-93.394704 44.85946,-93.414053 44.859208,-93.429327 44.86485,-93.437948 44.880647,-93.444151 44.895749,-93.449454 44.914552,-93.452551 44.929757,-93.458174 44.949281,-93.460158 44.966344,-93.459585 44.98388,-93.457007 45.002348,-93.452589 45.026461,-93.452368 45.04175,-93.450148 45.060804,-93.446493 45.080748,-93.449377 45.094755)",I 494
"LINESTRING (-70.732412 41.783716,-70.733511 41.784074,-70.748861 41.792219,-70.767065 41.80459,-70.791303 41.812376,-70.809042 41.82475,-70.825185 41.837759,-70.840392 41.844327,-70.855994 41.848073,-70.872863 41.856573,-70.889434 41.868121,-70.904822 41.875475,-70.920302 41.881808,-70.954032 41.895697,-70.989387 41.91844,-71.006363 41.93114,-71.021751 41.945193,-71.037796 41.956286,-71.069443 41.959082,-71.087486 41.960234,-71.123948 41.962424,-71.139748 41.965777,-71.16134 41.98358,-71.176507 41.992259,-71.196969 41.997222,-71.212411 42.000975,-71.229523 42.00967,-71.244646 42.019992,-71.261057 42.028114,-71.281603 42.031913,-71.302515 42.03688,-71.318529 42.03807,-71.336992 42.03965,-71.355829 42.042884,-71.371363 42.052967,-71.390422 42.060634,-71.408984 42.070285,-71.424106 42.085403,-71.441142 42.100864,-71.45843 42.107303,-71.473361 42.125084,-71.481875 42.140236,-71.489756 42.156006,-71.50542 42.164494,-71.521519 42.176999,-71.536602 42.190362,-71.543301 42.206704,-71.550396 42.223466,-71.553417 42.238511,-71.560123 42.254666,-71.565754 42.271355,-71.566616 42.287308,-71.565784 42.303845,-71.570995 42.31909,-71.576015 42.338529,-71.581783 42.354551,-71.596683 42.37121,-71.60474 42.386785,-71.609104 42.405298,-71.595325 42.428491,-71.586689 42.445425,-71.55891 42.470648,-71.546306 42.485896,-71.524959 42.507193,-71.509616 42.519969,-71.496188 42.536731,-71.480334 42.548854,-71.455676 42.554789,-71.439807 42.559451,-71.423937 42.570914,-71.388643 42.585784,-71.370317 42.595801,-71.35531 42.603083,-71.338991 42.606559,-71.322153 42.607665,-71.306948 42.612185,-71.291367 42.617903,-71.275414 42.626265,-71.257722 42.631884,-71.2408 42.63861,-71.225503 42.64614,-71.207841 42.654082,-71.192818 42.665542,-71.177232 42.673816,-71.161697 42.67704,-71.146415 42.682091,-71.142402 42.697578,-71.137581 42.713806,-71.139587 42.729179,-71.139854 42.744457,-71.123878 42.758926,-71.119423 42.773979,-71.107605 42.791927,-71.092491 42.801086,-71.075935 42.806095,-71.054008 42.802681,-71.037482 42.804218,-71.022223 42.816852,-71.003516 42.826908,-70.981612 42.833206,-70.965361 42.834785,-70.940375 42.839157,-70.920767 42.84634,-70.902548 42.854749,-70.893499 42.862798)",I 495
"LINESTRING (-73.924682 40.733666,-73.921508 40.733506,-73.904662 40.726258,-73.888366 40.727375,-73.871749 40.731934,-73.854117 40.737202,-73.838118 40.743267,-73.817068 40.739483,-73.801725 40.738426,-73.78002 40.742802,-73.761724 40.747425,-73.744879 40.753815,-73.728979 40.762539,-73.713461 40.768559,-73.697416 40.767105,-73.681874 40.772785,-73.666409 40.777859,-73.651242 40.784573,-73.63223 40.784527,-73.616177 40.783367,-73.596455 40.782101,-73.580258 40.7799,-73.558835 40.782204,-73.543384 40.783558,-73.526081 40.78735,-73.508609 40.795719,-73.492412 40.799271,-73.47636 40.79755,-73.459873 40.791291,-73.444576 40.785256,-73.425029 40.781201,-73.403987 40.783081,-73.387286 40.786896,-73.369944 40.789803,-73.35319 40.793782,-73.333445 40.801239,-73.311991 40.803704,-73.294116 40.804772,-73.27305 40.804699,-73.249902 40.805393,-73.231027 40.807297,-73.210039 40.809296,-73.19462 40.809017,-73.17711 40.808743,-73.15999 40.809204,-73.142403 40.8116,-73.121857 40.812668,-73.098382 40.814316,-73.075501 40.816876,-73.054963 40.820412,-73.036881 40.822468,-73.02082 40.823468,-73.003379 40.82375,-72.987175 40.822975,-72.969474 40.822994,-72.949668 40.827259,-72.929267 40.830342,-72.913246 40.833451,-72.887145 40.846146,-72.867865 40.850655,-72.851622 40.852227,-72.835371 40.858528,-72.817481 40.865429,-72.798666 40.873307,-72.780814 40.877819,-72.763609 40.883942,-72.746175 40.897351,-72.732236 40.914967,-72.720151 40.922657)",I 495
"LINESTRING (-70.305909 43.720498,-70.305298 43.722226,-70.30317 43.741625,-70.307663 43.759165,-70.313691 43.775236,-70.315545 43.790575,-70.316803 43.806376,-70.320656 43.823244,-70.324974 43.840204,-70.32309 43.855326,-70.33088 43.874216,-70.341469 43.892867,-70.33796 43.921077,-70.334099 43.941936,-70.32972 43.957717,-70.320214 43.974246,-70.310128 43.989467,-70.305535 44.005847,-70.293168 44.021133,-70.274764 44.035785,-70.258964 44.040465,-70.241065 44.047336,-70.225799 44.053355,-70.210426 44.061935,-70.194145 44.071922,-70.179023 44.070893,-70.161788 44.067222,-70.145781 44.068004,-70.130568 44.075138,-70.113638 44.082916,-70.098578 44.093037,-70.075568 44.106426,-70.044478 44.121647,-70.021016 44.124546,-70.00031 44.124878,-69.982396 44.124966,-69.967061 44.126026,-69.927816 44.143147,-69.902416 44.154469,-69.874943 44.166706,-69.834065 44.207657,-69.825001 44.214009)",I 495
"LINESTRING (-77.17511 38.791748,-77.178116 38.792206,-77.198556 38.798019,-77.220979 38.81509,-77.218606 38.834331,-77.220613 38.868164,-77.221139 38.884598,-77.215661 38.900292,-77.217027 38.919991,-77.207757 38.936951,-77.195756 38.952668,-77.180557 38.966939,-77.168976 38.982598,-77.158043 38.999417,-77.151657 39.009846,-77.124573 39.014554,-77.104141 39.019517,-77.09288 39.011948,-77.071198 39.005696,-77.041945 39.013306,-77.023719 39.016412,-77.008407 39.015477,-76.989966 39.018563,-76.972434 39.018563,-76.955611 39.020867,-76.939483 39.022168)",I 495
"LINESTRING (-75.461948 39.809023,-75.452297 39.799887,-75.46812 39.788107,-75.482471 39.772398,-75.492511 39.757135,-75.50848 39.748629,-75.52367 39.733488,-75.539714 39.720308,-75.555996 39.716974,-75.577305 39.714952,-75.584591 39.714315)",I 495
"LINESTRING (-84.495425 42.674907,-84.495654 42.675269,-84.503108 42.690478,-84.505519 42.706828,-84.50587 42.72248,-84.521839 42.724459,-84.538738 42.725699,-84.554058 42.725928,-84.569866 42.725959,-84.585689 42.725768,-84.601185 42.721877,-84.621898 42.719649,-84.641819 42.719638,-84.659055 42.719599,-84.66908 42.719626)",I 496
